company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
Clearsign Combustion Corp,Washington,CLIR,Nasdaq,46.8,0.1,47.0,2012-04-25,8.02,4.0,12.0,Machinery,1
Hubspot Inc.,Massachusetts,HUBS,New York,17.9,0.0,17.9,2014-10-09,7.25,25.0,125.0,IT,1
Bankwell Financial Group Inc.,Connecticut,BWFG,Nasdaq,0.0,0.0,425.3,2014-05-15,7.51,18.0,48.649,Finance,1
Manning & Napier Inc.,New York,MN,New York,0.0,841.5,2851.4,2011-11-18,7.88,12.0,150.0,Finance,1
Conformis Inc.,Massachusetts,CFMS,Nasdaq,0.0,0.0,3772.1,2015-07-01,15.26,15.0,135.0,Health,1
Calix Inc.,California,CALX,New York,4.0,0.0,104.4,2010-03-24,12.13,13.0,82.276,IT,1
Tower International Inc.,Michigan,TOWR,New York,76.8,58.2,135.0,2010-10-15,6.42,13.0,81.25,Retail,1
Pbf Logistics Lp,New Jersey,PBFX,New York,260.3,212.6,1079.9,2014-05-09,7.17,23.0,316.25,Oil,1
Hexindai Inc.,Texas,HX,Nasdaq,0.0,1342.4,1342.4,2017-11-03,9.26,10.0,50.0,Finance,1
Twilio Inc.,California,TWLO,New York,0.0,0.0,14.1,2016-06-23,8.3,15.0,150.0,IT,1
Verona Pharma Plc,Massachusetts,VRNA,Nasdaq,0.0,1984.3,1984.3,2017-04-27,10.99,13.5,77.868,Health,1
Gain Capital Holdings Inc.,New Jersey,GCAP,New York,0.0,152.5,567.8,2010-12-15,9.76,9.0,81.0,Finance,1
Freshpet Inc.,New Jersey,FRPT,Nasdaq,12.5,183.6,453.0,2014-11-07,8.09,15.0,156.25,Food,1
Wheeler Real Estate Investment Trust Inc.,Virginia,WHLR,Nasdaq,5542.1,35412.4,40954.5,2012-11-19,9.05,5.25,21.0,Finance,1
Parsley Energy Inc.,Texas,PE,New York,0.0,39.9,2137.9,2014-05-23,5.04,18.5,925.0,Oil,1
Kadmon Holdings Inc.,New York,KDMN,New York,0.0,0.0,6.2,2016-07-27,10.14,12.0,75.0,Health,1
Maxlinear Inc.,California,MXL,New York,0.0,0.0,27.5,2010-03-24,9.49,14.0,90.217,IT,1
Yandex NV,Oklahoma,YNDX,Nasdaq,0.0,0.0,3.0,2011-05-24,5.26,25.0,1304.352,IT,1
Smart Sand Inc.,Texas,SND,Nasdaq,-14.2,3980.8,3994.9,2016-11-04,6.62,11.0,128.7,Chemical,1
Kura Oncology Inc.,California,KURA,Nasdaq,0.0,363.1,363.1,2015-11-05,5.82,8.0,50.0,Health,1
Fate Therapeutics Inc.,California,FATE,Nasdaq,0.0,0.0,25.8,2013-10-01,4.63,6.0,40.0,Health,1
Heritage Insurance Holdings Inc.,Florida,HRTG,New York,0.0,28.9,6380.3,2014-05-23,5.83,11.0,66.0,Finance,1
Ryb Education Inc.,North Carolina,RYB,New York,0.0,0.1,83.8,2017-09-27,9.67,18.5,144.3,Food,1
Ellington Financial Inc.,Connecticut,EFC,New York,0.0,435.4,3349.2,2010-10-08,7.89,22.5,101.25,Finance,1
Fb Financial Corp,Tennessee,FBK,New York,8.5,0.0,3311.9,2016-09-16,3.37,19.0,111.765,Finance,1
Pbf Energy Inc.,New Jersey,PBF,New York,192.3,4.3,202.1,2012-12-13,18.99,26.0,533.0,Oil,1
Tracon Pharmaceuticals Inc.,California,TCON,Nasdaq,0.0,0.0,644.4,2015-01-30,8.61,10.0,36.0,Health,1
Quinstreet Inc.,California,QNST,Nasdaq,0.0,0.1,60.0,2010-02-11,11.05,15.0,150.0,IT,1
Aclaris Therapeutics Inc.,Pennsylvania,ACRS,Nasdaq,0.0,43.6,4615.8,2015-10-07,10.09,11.0,55.0,Health,1
Match Group Inc.,Texas,MTCH,Nasdaq,0.0,100.1,150.4,2015-11-19,10.29,12.0,400.0,IT,1
Akebia Therapeutics Inc.,Massachusetts,AKBA,Nasdaq,0.0,5.9,18.9,2014-03-20,0.37,17.0,100.0,Health,1
Roku Inc.,California,ROKU,Nasdaq,335.3,0.0,1357.3,2017-09-28,5.58,14.0,219.352,Communications,1
Performant Financial Corp,California,PFMT,Nasdaq,12.2,0.1,59.1,2012-08-10,10.9,9.0,81.0,Machinery,1
Jupai Holdings Ltd,Indiana,JP,New York,0.0,0.1,2445.8,2015-07-16,2.98,10.0,53.0,Finance,1
Orion Engineered Carbons SA,Texas,OEC,New York,698.1,5.5,703.6,2014-07-25,12.04,18.0,351.0,Chemical,1
Sophiris Bio Inc.,California,SPHS,Nasdaq,-26.9,65.6,766.6,2013-08-16,10.81,5.0,65.0,Health,1
Tactile Systems Technology Inc.,Minnesota,TCMD,Nasdaq,1.6,26.3,27.9,2016-07-28,13.26,10.0,40.0,Health,1
DespegarCom Corp,Maryland,DESP,New York,0.0,1576.2,1576.2,2017-09-20,6.58,26.0,332.02,Retail,1
Eros International Plc,Hawaii,EROS,New York,0.0,63.0,86.1,2013-11-13,5.93,11.0,55.0,Retail,1
Inovalon Holdings Inc.,Maryland,INOV,Nasdaq,-5.8,42.6,66.7,2015-02-12,10.12,27.0,600.0,IT,1
Endurance International Group Holdings Inc.,Massachusetts,EIGI,Nasdaq,0.0,0.0,191.3,2013-10-25,6.07,12.0,252.612,IT,1
Axsome Therapeutics Inc.,New York,AXSM,Nasdaq,-19.4,10.1,45.8,2015-11-19,12.56,9.0,51.0,Health,1
Yirendai Ltd,New York,YRD,New York,0.0,0.0,691.9,2015-12-18,8.67,10.0,75.0,Finance,1
Dova Pharmaceuticals Inc.,North Carolina,DOVA,Nasdaq,-31.3,3.0,467.1,2017-06-29,13.43,17.0,75.055,Health,1
Guaranty Bancshares Inc /Tx/,Texas,GNTY,Nasdaq,9.7,0.0,760.0,2017-05-09,8.51,27.0,54.0,Finance,1
Qudian Inc.,Washington,QD,New York,14.0,0.0,2306.7,2017-10-18,6.32,24.0,900.0,Finance,1
Newater Technology Inc.,Arizona,NEWA,Nasdaq,7.7,0.0,7.7,2017-07-28,7.27,5.0,7.0,Machinery,1
Genocea Biosciences Inc.,Massachusetts,GNCA,Nasdaq,0.0,4.0,127.5,2014-02-05,0.36,12.0,66.0,Health,1
Warrior Met Coal Inc.,Alabama,HCC,New York,-12.2,2461.8,2474.0,2017-04-13,9.64,19.0,316.667,Chemical,1
Cyrusone Inc.,Texas,CONE,Nasdaq,60.3,338.0,13326.6,2013-01-18,8.04,19.0,313.5,Finance,1
Bellicum Pharmaceuticals Inc.,Texas,BLCM,Nasdaq,23.9,7.4,488.9,2014-12-18,17.86,19.0,139.65,Health,1
Gds Holdings Ltd,Rhode Island,GDS,Nasdaq,-9.9,272.8,282.6,2016-11-02,11.72,10.0,192.5,IT,1
Gms Inc.,Georgia,GMS,New York,149.0,3291.6,3440.6,2016-05-26,9.24,21.0,147.0,Chemical,1
Hailiang Education Group Inc.,Minnesota,HLG,Nasdaq,-4.2,0.3,120.4,2015-07-07,9.78,7.0,20.006,Food,1
Continental Building Products Inc.,Virginia,CBPX,New York,-2.7,0.0,2.7,2014-02-05,8.94,14.0,164.71,Chemical,1
Atkore International Group Inc.,Illinois,ATKR,New York,-55.3,2.5,1532.8,2016-06-10,7.04,16.0,192.0,Machinery,1
Century Communities Inc.,Colorado,CCS,New York,64.3,14.1,78.4,2014-06-18,9.99,23.0,103.04,Retail,1
Pfenex Inc.,California,PFNX,American,0.0,25.3,1582.8,2014-07-24,12.26,6.0,50.0,Health,1
Tecogen Inc.,Massachusetts,TGEN,Nasdaq,0.0,3.3,60.8,2014-05-20,9.47,4.75,3.077,Chemical,1
Corvus Pharmaceuticals Inc.,California,CRVS,Nasdaq,22.4,0.0,93.2,2016-03-23,7.2,15.0,70.5,Health,1
Penumbra Inc.,California,PEN,New York,0.0,3.3,14.0,2015-09-18,14.68,30.0,120.0,Health,1
Nightstar Therapeutics Plc,Massachusetts,NITE,Nasdaq,405.8,24.5,2763.6,2017-09-28,6.98,14.0,75.04,Health,1
Netshoes (Cayman) Ltd,New Jersey,NETS,New York,76.7,13.0,89.6,2017-04-12,7.9,18.0,148.5,Retail,1
Fireeye Inc.,California,FEYE,Nasdaq,0.0,126.5,126.5,2013-09-20,7.95,20.0,303.5,IT,1
New Home Co Inc.,California,NWHM,New York,282.5,119.2,3121.2,2014-01-31,10.86,11.0,85.938,Retail,1
Cypress Energy Partners LP,Oklahoma,CELP,New York,0.0,12.2,96.4,2014-01-15,6.1,20.0,75.0,Oil,1
China Internet Nationwide Financial Services Inc.,North Carolina,CIFS,Nasdaq,42.5,0.0,985.4,2017-08-08,7.72,10.0,20.231,Finance,1
Dynagas Lng Partners Lp,South Dakota,DLNG,Nasdaq,27.8,0.0,41.2,2013-11-13,4.77,18.0,225.0,Machinery,1
Pacific Biosciences Of California Inc.,California,PACB,Nasdaq,-27.7,1.2,86.6,2010-10-27,10.79,16.0,200.0,Health,1
Generac Holdings Inc.,Wisconsin,GNRC,New York,0.0,1983.8,1983.8,2010-02-11,8.05,13.0,243.75,Machinery,1
Workday Inc.,California,WDAY,New York,120.2,1.3,121.5,2012-10-12,5.16,28.0,637.0,IT,1
Portola Pharmaceuticals Inc.,California,PTLA,Nasdaq,0.0,318.6,318.6,2013-05-22,10.71,14.5,122.13,Health,1
Cidara Therapeutics Inc.,California,CDTX,Nasdaq,0.0,0.0,23.8,2015-04-15,10.27,16.0,76.8,Health,1
Zynerba Pharmaceuticals Inc.,Pennsylvania,ZYNE,Nasdaq,14.7,3.3,18.0,2015-08-05,9.75,14.0,42.0,Health,1
Calyxt Inc.,Minnesota,CLXT,Nasdaq,-30.9,102.9,2061.9,2017-07-20,7.05,8.0,56.0,Food,1
Sprague Resources Lp,New Hampshire,SRLP,New York,0.0,178.5,431.6,2013-10-25,9.21,18.0,153.0,Oil,1
Etsy Inc.,New York,ETSY,Nasdaq,30.6,12.9,518.3,2015-04-16,7.66,16.0,266.667,Retail,1
58Com Inc.,Virginia,WUBA,New York,0.0,0.0,27.2,2013-10-31,12.21,17.0,187.0,IT,1
Five Prime Therapeutics Inc.,California,FPRX,Nasdaq,60.4,0.0,60.4,2013-09-18,11.47,13.0,62.4,Health,1
Plains Gp Holdings Lp,Texas,PAGP,New York,35.8,571.4,607.1,2013-10-16,8.03,22.0,2816.0,Oil,1
Spring Bank Pharmaceuticals Inc.,Massachusetts,SBPH,Nasdaq,-12.2,1668.4,1680.6,2016-05-06,11.06,12.0,11.04,Health,1
Costamare Inc.,Wisconsin,CMRE,New York,2.7,77.1,79.8,2010-11-04,14.92,12.0,159.6,Machinery,1
Protagonist Therapeutics Inc.,California,PTGX,Nasdaq,-28.5,25.6,393.3,2016-08-11,8.69,12.0,90.0,Health,1
Kimbell Royalty Partners Lp,Texas,KRP,New York,100.9,519.5,620.4,2017-02-03,11.77,18.0,90.0,Oil,1
Allison Transmission Holdings Inc.,Indiana,ALSN,New York,76.3,14.8,222.8,2012-03-15,8.08,23.0,600.3,Retail,1
American Midstream Partners Lp,Texas,AMID,New York,724.5,21.1,745.6,2011-07-27,8.03,21.0,78.75,Oil,1
Tuniu Corp,Oklahoma,TOUR,Nasdaq,263.2,77.1,340.3,2014-05-09,10.12,9.0,72.0,Retail,1
Moleculin Biotech Inc.,Texas,MBRX,Nasdaq,-1.2,7.7,539.3,2016-06-02,8.47,6.0,9.24,Health,1
Mastercraft Boat Holdings Inc.,Tennessee,MCFT,Nasdaq,21.2,1165.4,1186.6,2015-07-17,10.67,15.0,91.071,Retail,1
Pacific Drilling SA,Maryland,PACD,New York,0.0,458.9,458.9,2011-11-11,8.18,8.25,49.5,Oil,1
Mediwound Ltd,Oregon,MDWD,Nasdaq,-21.2,3.3,32.4,2014-03-20,8.16,14.0,70.0,Health,1
Celyad SA,Kansas,CYAD,Nasdaq,-3.4,3.3,150.6,2015-06-19,16.29,68.56,100.098,Health,1
Aeglea Biotherapeutics Inc.,Texas,AGLE,Nasdaq,-19.0,0.0,19.0,2016-04-07,8.86,10.0,50.0,Health,1
Servicenow Inc.,California,NOW,New York,0.0,90.3,108.4,2012-06-29,13.41,18.0,209.7,IT,1
Asv Holdings Inc.,Minnesota,ASV,Nasdaq,0.0,0.0,122.9,2017-05-12,7.64,7.0,26.6,Machinery,1
Malibu Boats Inc.,Tennessee,MBUU,Nasdaq,0.0,0.2,19.1,2014-01-31,9.67,14.0,100.0,Retail,1
Bank Of NT Butterfield & Son Ltd,Oregon,NTB,New York,3719.9,2165.3,12395.9,2016-09-16,8.91,23.5,250.0,Finance,1
Kosmos Energy Ltd,Texas,KOS,New York,0.0,42.5,449.3,2011-05-11,10.33,18.0,594.0,Oil,1
Shopify Inc.,Rhode Island,SHOP,New York,0.0,0.0,131.7,2015-05-21,7.54,17.0,130.9,IT,1
Usd Partners Lp,Texas,USDP,New York,0.0,207.5,230.6,2014-10-09,8.4,17.0,155.04,Machinery,1
Sandridge Energy Inc.,Oklahoma,SDR,New York,0.0,0.7,682.3,2012-04-18,10.23,21.0,546.0,Oil,1
Bg Medicine Inc.,Massachusetts,BGMD,Nasdaq,0.0,246.3,2004.8,2011-02-04,6.56,7.0,35.0,Health,1
Chiasma Inc.,Massachusetts,CHMA,Nasdaq,-14.6,0.0,14.6,2015-07-16,8.5,16.0,101.84,Health,1
Hoegh Lng Partners Lp,California,HMLP,New York,0.0,83.5,166.6,2014-08-07,6.24,20.0,192.0,Machinery,1
Yogaworks Inc.,California,YOGA,Nasdaq,-3.9,1061.5,1065.4,2017-08-11,10.49,5.5,40.15,Retail,1
Evertec Inc.,Pennsylvania,EVTC,New York,22.2,4.7,972.8,2013-04-12,10.68,20.0,505.263,IT,1
Ossen Innovation Co Ltd,Kentucky,OSN,Nasdaq,15.4,0.0,73.2,2010-12-21,8.07,4.5,22.5,Chemical,1
Qiwi,Hawaii,QIWI,Nasdaq,0.0,54.0,54.0,2013-05-03,8.0,17.0,212.5,Finance,1
Suncoke Energy Partners LP,Illinois,SXCP,New York,0.0,9.4,62.1,2013-01-18,8.85,19.0,256.5,Chemical,1
Semler Scientific Inc.,California,SMLR,Nasdaq,0.0,1.3,97.8,2014-02-21,8.44,7.0,10.01,Health,1
Evoqua Water Technologies Corp,Pennsylvania,AQUA,New York,0.0,4.1,3200.0,2017-11-02,7.5,18.0,500.0,Machinery,1
Dave & Buster'S Entertainment Inc.,Texas,PLAY,Nasdaq,4.1,1548.7,1552.8,2014-10-10,6.58,16.0,94.118,Retail,1
Wideopenwest Inc.,Colorado,WOW,New York,81.3,0.0,7391.2,2017-05-25,6.01,17.0,310.0,Communications,1
Dermira Inc.,California,DERM,Nasdaq,0.0,27.0,43.6,2014-10-03,5.77,16.0,125.0,Health,1
Brixmor Property Group Inc.,New York,BRX,New York,0.0,245.3,245.3,2013-10-30,13.9,20.0,825.0,Finance,1
Byline Bancorp Inc.,South Carolina,BY,New York,0.0,0.0,1616.5,2017-06-30,6.41,19.0,108.3,Finance,1
CareCom Inc.,Massachusetts,CRCM,New York,0.4,102.5,102.8,2014-01-24,8.63,17.0,90.95,IT,1
Esperion Therapeutics Inc.,Michigan,ESPR,Nasdaq,0.0,0.0,4999.8,2013-06-26,13.97,14.0,70.0,Health,1
Tabula Rasa Healthcare Inc.,New Jersey,TRHC,Nasdaq,0.0,1.4,211.0,2016-09-29,8.86,12.0,51.6,IT,1
Diplomat Pharmacy Inc.,Michigan,DPLO,New York,-21.6,2485.8,2507.4,2014-10-10,8.7,13.0,173.333,Health,1
Editas Medicine Inc.,Massachusetts,EDIT,Nasdaq,-24.8,25.2,566.0,2016-02-03,8.95,16.0,94.4,Health,1
Appian Corp,Virginia,APPN,Nasdaq,0.0,0.0,59.4,2017-05-25,7.97,12.0,75.0,IT,1
Paramount Group Inc.,New York,PGRE,New York,3.7,226.3,1176.9,2014-11-19,5.24,17.5,2292.5,Finance,1
Catabasis Pharmaceuticals Inc.,Massachusetts,CATB,Nasdaq,0.0,2587.1,2587.1,2015-06-25,2.68,12.0,60.0,Health,1
Ultragenyx Pharmaceutical Inc.,California,RARE,Nasdaq,0.0,0.0,23.8,2014-01-31,9.7,21.0,120.968,Health,1
Codexis Inc.,California,CDXS,Nasdaq,4.5,0.0,546.0,2010-04-22,12.16,13.0,78.0,Health,1
Extraction Oil & Gas Inc.,Colorado,XOG,Nasdaq,0.0,208.9,208.9,2016-10-12,3.97,19.0,633.333,Oil,1
Usa Compression Partners Lp,Texas,USAC,New York,11.6,346.7,718.1,2013-01-15,9.17,18.0,198.0,Oil,1
Energous Corp,California,WATT,Nasdaq,2.9,0.1,1285.5,2014-03-28,11.69,6.0,24.0,IT,1
Azurrx Biopharma Inc.,New York,AZRX,Nasdaq,18.9,0.0,18.9,2016-10-11,7.54,5.5,5.28,Health,1
Global Water Resources Inc.,Arizona,GWRS,Nasdaq,0.0,322.8,322.8,2016-04-28,12.53,6.25,7.28,Energy,1
China Rapid Finance Ltd,Massachusetts,XRF,New York,24.8,0.0,60.1,2017-04-28,10.2,6.0,60.0,Finance,1
Alder Biopharmaceuticals Inc.,Washington,ALDR,Nasdaq,-22.6,0.0,276.3,2014-05-08,10.62,10.0,80.0,Health,1
Cloudera Inc.,California,CLDR,New York,0.0,0.0,35.4,2017-04-28,9.18,15.0,225.0,IT,1
Viper Energy Partners Lp,Texas,VNOM,Nasdaq,0.0,24.9,2002.0,2014-06-18,6.13,26.0,130.0,Oil,1
Green Plains Partners Lp,Nebraska,GPP,Nasdaq,1925.7,608.6,2534.4,2015-06-26,4.49,15.0,150.0,Oil,1
Potbelly Corp,Illinois,PBPB,Nasdaq,12.3,50.5,68.6,2013-10-04,9.65,14.0,105.0,Retail,1
Global Blood Therapeutics Inc.,California,GBT,Nasdaq,0.0,0.0,1051.7,2015-08-12,18.69,20.0,120.0,Health,1
Aquinox Pharmaceuticals Inc.,Pennsylvania,AQXP,Nasdaq,0.0,0.0,1713.2,2014-03-07,11.59,11.0,46.2,Health,1
Ppdai Group Inc.,Massachusetts,PPDF,New York,122.1,61.7,630.2,2017-11-10,8.5,13.0,221.0,Finance,1
Ubiquiti Networks Inc.,New York,UBNT,Nasdaq,0.0,0.2,37.2,2011-10-14,8.78,15.0,105.573,IT,1
Standard Avb Financial Corp,Pennsylvania,STND,Nasdaq,19.5,155.1,8827.3,2010-10-07,7.69,10.0,34.5,Finance,1
Scynexis Inc.,New Jersey,SCYX,Nasdaq,0.0,1.7,142.1,2014-05-02,8.0,10.0,62.0,Health,1
Veritex Holdings Inc.,Texas,VBTX,Nasdaq,0.0,0.0,63.0,2014-10-09,9.23,13.0,35.1,Finance,1
Ascendis Pharma A/S,Hawaii,ASND,Nasdaq,0.0,5.6,921.5,2015-01-28,9.67,18.0,108.0,Health,1
Alteryx Inc.,California,AYX,New York,0.0,24.1,59.0,2017-03-24,8.06,14.0,126.0,IT,1
Coresite Realty Corp,Colorado,COR,New York,443.6,0.0,531.5,2010-09-23,14.22,16.0,270.4,Finance,1
Venator Materials Plc,Virginia,VNTR,New York,0.0,1.3,224.0,2017-08-03,12.16,20.0,454.0,Chemical,1
Acacia Communications Inc.,Massachusetts,ACIA,Nasdaq,0.0,45.0,89.0,2016-05-13,3.17,23.0,103.5,IT,1
Atyr Pharma Inc.,California,LIFE,Nasdaq,0.0,6.9,20.0,2015-05-07,8.63,14.0,75.04,Health,1
Sportsman'S Warehouse Holdings Inc.,Utah,SPWH,Nasdaq,93.3,2.3,95.6,2014-04-17,1.27,9.5,118.75,Retail,1
Siteone Landscape Supply Inc.,Georgia,SITE,New York,1.7,0.1,18.9,2016-05-12,8.49,21.0,210.0,Machinery,1
Vince Holding Corp,New York,VNCE,New York,10.7,85.1,257.8,2013-11-22,5.11,20.0,200.0,Retail,1
Motif Bio Plc,Virginia,MTFB,Nasdaq,0.0,1.1,182.5,2016-11-18,7.42,6.98,17.021,Health,1
Cornerstone Ondemand Inc.,California,CSOD,Nasdaq,0.0,535.2,535.2,2011-03-17,7.5,13.0,136.5,IT,1
Stitch Fix Inc.,California,SFIX,Nasdaq,70.7,74.0,144.7,2017-11-17,10.0,15.0,120.0,Retail,1
Cara Therapeutics Inc.,Connecticut,CARA,Nasdaq,370.3,0.0,370.3,2014-01-31,4.89,11.0,55.0,Health,1
Houghton Mifflin Harcourt Co,Massachusetts,HMHC,Nasdaq,86.6,12.6,202.0,2013-11-14,8.64,12.0,219.0,Food,1
Pacific Coast Oil Trust,Texas,ROYT,New York,938.6,281.1,1219.7,2012-05-03,8.38,20.0,370.0,Oil,1
Vera Bradley Inc.,Indiana,VRA,Nasdaq,88.4,1354.1,1442.5,2010-10-21,8.15,16.0,176.0,Retail,1
Coupa Software Inc.,California,COUP,Nasdaq,0.0,0.2,167.2,2016-10-06,8.87,18.0,133.2,IT,1
Adecoagro SA,Kentucky,AGRO,New York,26.0,0.0,26.0,2011-01-28,13.6,11.0,314.286,Food,1
Arista Networks Inc.,California,ANET,New York,56.0,0.2,172.4,2014-06-06,10.79,43.0,225.75,IT,1
Rbb Bancorp,California,RBB,Nasdaq,0.0,156.2,35954.5,2017-07-26,11.89,23.0,86.25,Finance,1
Elevate Credit Inc.,Texas,ELVT,New York,31.1,249.6,3015.8,2017-04-06,6.48,6.5,80.6,Finance,1
Mersana Therapeutics Inc.,Massachusetts,MRSN,Nasdaq,0.0,931.6,931.6,2017-06-28,8.69,15.0,75.0,Health,1
Chicken Soup For The Soul Entertainment Inc.,Connecticut,CSSE,Nasdaq,0.0,93.4,408.1,2017-08-18,1.62,12.0,30.0,Retail,1
Ardelyx Inc.,California,ARDX,Nasdaq,0.0,0.0,160.8,2014-06-19,10.06,14.0,60.004,Health,1
Newlink Genetics Corp,Iowa,NLNK,Nasdaq,0.0,0.0,11.0,2011-11-14,0.36,7.0,43.4,Health,1
Cherry Hill Mortgage Investment Corp,New Jersey,CHMI,New York,0.0,0.0,1066.1,2013-10-04,5.77,20.0,130.0,Finance,1
Box Inc.,California,BOX,New York,0.0,0.0,2697.0,2015-01-23,9.47,14.0,175.0,IT,1
Denali Therapeutics Inc.,California,DNLI,Nasdaq,0.0,29.3,60.4,2017-12-08,6.69,18.0,250.0,Health,1
Cbtx Inc.,Texas,CBTX,Nasdaq,258.7,166.6,35543.7,2017-11-08,10.37,26.0,62.4,Finance,1
Farmland Partners Inc.,Colorado,FPI,American,0.0,130.5,130.5,2014-04-11,6.69,14.0,53.2,Finance,1
Flexion Therapeutics Inc.,Massachusetts,FLXN,Nasdaq,-13.3,390.2,3133.9,2014-02-12,10.07,13.0,65.0,Health,1
Allena Pharmaceuticals Inc.,Massachusetts,ALNA,Nasdaq,6.1,19.4,25.6,2017-11-02,9.35,14.0,74.667,Health,1
Camping World Holdings Inc.,Illinois,CWH,New York,362.4,93.3,3462.6,2016-10-07,6.61,22.0,250.0,Retail,1
Clearside Biomedical Inc.,North Carolina,CLSD,Nasdaq,277.0,0.0,277.0,2016-06-02,8.51,7.0,50.4,Health,1
Franklin Financial Network Inc.,Tennessee,FSB,New York,10.2,196.2,257.4,2015-03-26,9.61,21.0,55.44,Finance,1
Sogou Inc.,Illinois,SOGO,New York,0.0,0.0,3719.8,2017-11-09,8.76,13.0,585.0,IT,1
Zai Lab Ltd,District of Columbia,ZLAB,Nasdaq,0.0,0.0,123.8,2017-09-20,8.21,18.0,150.0,Health,1
Carbonite Inc.,Massachusetts,CARB,Nasdaq,12.7,10.8,64.8,2011-08-11,12.17,10.0,62.5,IT,1
Gaslog Partners Lp,Massachusetts,GLOP,New York,31.2,477.8,509.0,2014-05-07,7.81,21.0,176.4,Oil,1
ELF Beauty Inc.,California,ELF,New York,0.0,1871.2,1871.2,2016-09-22,12.31,17.0,141.667,Food,1
Jagged Peak Energy Inc.,Colorado,JAG,New York,0.0,454.5,454.5,2017-01-27,9.1,15.0,473.99,Oil,1
Zosano Pharma Corp,California,ZSAN,Nasdaq,0.0,2431.9,2431.9,2015-01-27,11.14,11.0,49.5,Health,1
Nucana Plc,Arkansas,NCNA,Nasdaq,271.7,3.6,275.3,2017-09-28,12.19,15.0,100.005,Health,1
Grupo Supervielle SA,Florida,SUPV,New York,17.5,1098.4,1115.8,2016-05-19,9.06,11.0,280.5,Finance,1
Easterly Government Properties Inc.,Iowa,DEA,New York,284.3,2375.0,3422.9,2015-02-06,12.94,15.0,180.0,Finance,1
Servicemaster Global Holdings Inc.,Tennessee,SERV,New York,177.1,0.4,177.5,2014-06-26,8.5,17.0,610.3,Machinery,1
Primo Water Corp,North Carolina,PRMW,Nasdaq,-64.0,0.0,70.0,2010-11-05,12.22,12.0,100.0,Food,1
Krystal Biotech Inc.,Pennsylvania,KRYS,Nasdaq,0.0,3.6,280.8,2017-09-20,18.68,10.0,39.6,Health,1
Secureworks Corp,Georgia,SCWX,Nasdaq,-128.1,0.1,401.0,2016-04-22,8.72,14.0,112.0,IT,1
Lightinthebox Holding Co Ltd,New Hampshire,LITB,New York,0.0,1190.0,1190.0,2013-06-06,6.94,9.5,78.85,Retail,1
Jianpu Technology Inc.,Wisconsin,JT,New York,0.0,0.0,234.1,2017-11-16,9.68,8.0,180.0,IT,1
Tristate Capital Holdings Inc.,Pennsylvania,TSC,Nasdaq,0.0,2578.0,2578.0,2013-05-09,7.94,11.5,65.55,Finance,1
500Com Ltd,Massachusetts,WBAI,New York,3.0,40.7,107.5,2013-11-22,9.06,13.0,75.218,Retail,1
Horizon Therapeutics Public Ltd Co,Missouri,HZNP,Nasdaq,-26.7,1.7,28.4,2011-07-28,14.04,9.0,49.5,Health,1
American Renal Associates Holdings Inc.,Massachusetts,ARA,New York,-18.0,0.0,23.4,2016-04-21,10.66,22.0,165.0,Health,1
Habit Restaurants Inc.,California,HABT,Nasdaq,92.8,89.1,340.6,2014-11-20,5.66,18.0,90.0,Retail,1
Travelport Worldwide Ltd,Tennessee,TVPT,New York,43.7,13.1,56.8,2014-09-25,8.76,16.0,480.0,Restaurant,1
Intec Pharma Ltd,New Hampshire,NTEC,Nasdaq,1.7,0.0,2.3,2015-08-04,5.64,6.0,30.15,Health,1
Genmark Diagnostics Inc.,California,GNMK,Nasdaq,0.0,0.0,202.3,2010-05-28,9.42,6.0,27.6,Health,1
Interxion Holding NV,Indiana,INXN,New York,0.0,25.0,55.3,2011-01-28,8.57,13.0,264.878,IT,1
Vascular Biogenics Ltd,South Dakota,VBLT,Nasdaq,16.2,0.0,31.0,2014-10-01,11.66,6.0,40.0,Health,1
Jernigan Capital Inc.,Tennessee,JCAP,New York,27.4,248.4,275.8,2015-03-27,9.49,20.0,100.0,Finance,1
Marin Software Inc.,California,MRIN,New York,-13.4,0.0,33.1,2013-03-22,10.65,14.0,105.0,IT,1
Uniqure NV,Wisconsin,QURE,Nasdaq,-20.7,0.0,20.7,2014-02-05,11.18,17.0,91.8,Health,1
Novan Inc.,North Carolina,NOVN,Nasdaq,17.3,0.0,2704.3,2016-09-21,7.99,11.0,45.1,Health,1
Boxlight Corp,Georgia,BOXL,Nasdaq,40.8,0.0,40.8,2017-11-30,7.67,7.0,7.0,IT,1
Wave Life Sciences Ltd,Maine,WVE,Nasdaq,-5.4,0.0,17.4,2015-11-11,6.83,16.0,102.0,Health,1
US Silica Holdings Inc.,Maryland,SLCA,New York,0.0,4.3,6283.9,2012-02-01,6.53,17.0,200.0,Chemical,1
Fortress Transportation & Infrastructure Investors Llc,New York,FTAI,New York,0.0,3.9,824.7,2015-05-15,3.59,17.0,340.0,Machinery,1
Invitae Corp,California,NVTA,New York,-4.5,2225.9,2230.4,2015-02-12,6.35,16.0,101.6,Health,1
Nantkwest Inc.,California,NK,Nasdaq,29.2,0.0,112.2,2015-07-28,7.27,25.0,207.2,Health,1
