company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
Kempharm Inc.,Florida,KMPH,Nasdaq,0.0,0.0,148.8,2015-04-16,9.4,11.0,56.0,Health
Kenexa Corp,Pennsylvania,KNXA,Nasdaq,6.3,0.2,48.3,2005-04-12,11.2,12.0,60.0,IT
Kilroy Realty Corp,California,KRC,New York,27.9,270.4,128.3,1996-11-05,7.6,23.0,287.5,Finance
Kimbell Royalty Partners Lp,Texas,KRP,New York,100.9,519.5,620.4,2017-02-03,11.8,18.0,90.0,Oil
Kinder Morgan Inc,Texas,KMI,New York,1977.0,13866.8,28908.1,2010-07-19,3.6,30.0,2864.0,Oil
Kindred Biosciences Inc.,California,KIN,Nasdaq,0.0,0.0,8.3,2013-12-12,10.8,7.0,52.5,Health
King Pharmaceuticals Inc,Tennessee,KG,Nasdaq,0.0,177.7,269.4,1997-10-24,9.2,14.0,87.5,Chemical
Kinsale Capital Group Inc.,Virginia,KNSL,Nasdaq,17.7,0.0,2760.7,2016-07-28,10.3,16.0,105.6,Finance
Kirkland's Inc,Tennessee,KIRK,Nasdaq,0.0,12.2,90.3,2002-04-23,8.5,15.0,90.0,Retail
Knology Inc,Georgia,KNOL,Nasdaq,121.8,270.3,417.6,2003-10-01,10.6,9.0,54.0,IT
Kona Grill Inc,Arizona,KONA,Nasdaq,1.8,3.5,23.2,2005-06-03,11.0,11.0,27.5,Restaurant
Koppers Holdings Inc,Pennsylvania,KOP,New York,0.0,428.2,513.7,2005-09-12,2.3,14.0,140.0,Timber
Kornit Digital Ltd,Iowa,KRNT,Nasdaq,0.0,557.8,557.8,2015-04-02,5.0,10.0,71.0,Machinery
Kosmos Energy Ltd,Texas,KOS,New York,0.0,42.5,449.3,2011-05-11,10.3,18.0,594.0,Oil
Krystal Biotech Inc.,Pennsylvania,KRYS,Nasdaq,0.0,3.6,280.8,2017-09-20,18.7,10.0,39.6,Health
Kura Oncology Inc.,California,KURA,Nasdaq,0.0,363.1,363.1,2015-11-05,5.8,8.0,50.0,Health
L-3 Communications Holdings Inc,New York,LLL,New York,90.8,405.0,679.2,1998-02-27,8.0,22.0,132.0,Machinery
LHC Group Inc,Louisiana,LHCG,Nasdaq,24.4,1.4,56.4,2004-11-24,10.6,14.0,67.2,Health
LINN Energy LLC,Texas,LINE,Nasdaq,0.0,158.8,279.5,2005-06-03,9.6,21.0,246.8,Oil
LKQ Corp,Illinois,LKQ,Nasdaq,0.0,2.4,174.7,2003-07-28,8.7,13.0,91.0,Machinery
LPL Investment Holdings Inc,Massachusetts,LPLA,Nasdaq,309.4,1162.7,3364.9,2010-06-04,6.0,30.0,469.7,Finance
La Quinta Holdings Inc,Texas,LQ,New York,339.5,1988.7,3172.0,2014-02-10,6.2,17.0,650.3,Services
LaSalle Hotel Properties,Maryland,LHO,New York,17.0,206.4,217.9,1998-02-05,8.4,18.0,255.6,Finance
Ladder Capital Corp,New York,LADR,New York,0.0,89.4,3345.7,2014-02-06,5.9,17.0,225.3,Finance
Ladish Co Inc,Wisconsin,LDSH,Nasdaq,33.8,3.0,165.5,1997-12-23,7.1,13.5,86.2,Metal
Lantheus Holdings Inc,Massachusetts,LNTH,Nasdaq,64.2,350.9,250.3,2014-06-24,12.6,6.0,65.0,Energy
Lantronix Inc,California,LTRX,Nasdaq,0.0,0.1,20.4,2000-05-19,9.9,10.0,60.0,Energy
Laredo Petroleum Inc.,Oklahoma,LPI,New York,42.9,0.0,94.9,2011-12-15,8.5,17.0,297.5,Oil
LeMaitre Vascular Inc,Massachusetts,LMAT,Nasdaq,1.8,0.0,27.6,2006-04-25,14.3,7.0,38.5,Health
Legacy Reserves LP,Texas,LGCY,Nasdaq,29.7,4.0,273.4,2006-11-13,8.4,19.0,114.0,Oil
Lehigh Gas Partners LP,Pennsylvania,LGP,New York,44.5,257.5,300.7,2012-05-11,10.0,20.0,120.0,Oil
Leju Holdings Ltd,Oregon,LEJU,New York,0.0,49668.3,49668.3,2014-04-17,14.5,10.0,100.0,Finance
LendingClub Corp,California,LC,New York,303.2,2813.6,2814.8,2012-12-13,5.6,15.0,870.0,Finance
Lexinfintech Holdings Ltd,South Dakota,LX,Nasdaq,18.0,0.0,3276.6,2017-12-21,9.3,9.0,108.0,Finance
Lgi Homes Inc.,Texas,LGIH,Nasdaq,27.0,0.0,203.5,2013-11-07,8.1,11.0,99.0,Retail
Lightinthebox Holding Co Ltd,New Hampshire,LITB,New York,0.0,1190.0,1190.0,2013-06-06,6.9,9.5,78.9,Retail
Limco-Piedmont Inc,Oklahoma,LIMC,Nasdaq,0.0,0.0,40.4,2007-04-16,9.7,11.0,48.4,Transport
Limelight Networks Inc,Arizona,LLNW,Nasdaq,0.0,0.0,79.1,2007-03-22,7.9,15.0,240.0,Consulting
Lincoln Educational Services Corp,New Jersey,LINC,Nasdaq,0.0,10.6,153.9,2005-03-29,9.9,20.0,80.0,Services
Line Corp,Colorado,LN,New York,0.0,0.0,2.7,2016-07-14,7.0,32.8,1149.4,IT
LinkedIn Corp,California,LNKD,New York,41.6,0.0,265.3,2011-01-06,7.9,45.0,352.8,IT
Loma Negra Compania Industrial Argentina Sociedad Anonima,New Jersey,LOMA,New York,0.0,0.0,60.6,2017-11-01,4.8,19.0,874.0,Chemical
Lumber Liquidators Inc,Virginia,LL,New York,0.0,0.0,101.1,2007-04-23,9.3,11.0,110.0,Timber
Lumera Corp,Washington,LMRA,Nasdaq,0.0,0.0,39.8,2004-05-19,8.8,7.0,41.7,Chemical
Luna Innovations Inc,Virginia,LUNA,Nasdaq,0.0,5.1,20.8,2006-02-10,14.1,6.0,21.0,Chemical
Luther Burbank Corp,California,LBC,Nasdaq,131.5,49.7,14094.3,2017-12-08,11.5,10.8,130.6,Finance
Luxoft Holding Inc.,Washington,LXFT,New York,0.0,0.0,89.5,2013-06-26,8.9,17.0,69.6,IT
MAKO Surgical Corp,Florida,MAKO,Nasdaq,0.0,0.0,29.2,2007-09-19,12.4,10.0,51.0,Health
MEDecision Inc,Pennsylvania,MEDE,Nasdaq,3.2,2.6,32.5,2006-08-11,15.1,10.0,47.0,IT
MEMSIC Inc,Massachusetts,MEMS,Nasdaq,0.0,0.0,33.4,2007-09-28,12.6,10.0,60.0,Machinery
MRC Global Inc,Texas,MRC,New York,321.0,1355.1,3478.5,2012-01-12,6.5,21.0,477.3,Machinery
MWI Veterinary Supply Inc,Idaho,MWIV,Nasdaq,17.2,0.4,173.4,2005-04-22,9.4,17.0,73.7,Health
Macom Technology Solutions Holdings Inc.,Massachusetts,MTSI,Nasdaq,14.0,554.6,568.6,2012-03-15,8.1,19.0,114.0,IT
MacroGenics Inc,Maryland,MGNX,Nasdaq,0.0,8.0,42.0,2013-09-04,8.0,16.0,80.0,Chemical
Magnachip Semiconductor Corp,Rhode Island,MX,New York,0.0,0.0,863.2,2011-03-11,8.5,14.0,133.0,IT
Maguire Properties Inc,California,MPG,New York,0.0,1031.4,675.9,2002-11-12,8.8,19.0,693.7,Finance
Makemytrip Ltd,Indiana,MMYT,Nasdaq,31.5,14.0,76.8,2010-08-12,8.6,14.0,70.0,Retail
Malibu Boats Inc.,Tennessee,MBUU,Nasdaq,0.0,0.2,19.1,2014-01-31,9.7,14.0,100.0,Retail
Mammoth Energy Services Inc.,Oklahoma,TUSK,Nasdaq,0.0,2.3,391.6,2016-10-14,5.7,15.0,116.3,Oil
ManTech International Corp,Virginia,MANT,Nasdaq,36.1,26.1,238.1,2001-11-23,8.6,16.0,115.2,IT
Manchester United Plc,Pennsylvania,MANU,New York,29.4,122.0,323.9,2012-08-10,6.9,14.0,233.3,Retail
MannKind Corp,California,MNKD,Nasdaq,0.0,0.0,112.2,2004-04-30,9.0,14.0,87.5,Chemical
Manning & Napier Inc.,New York,MN,New York,0.0,841.5,2851.4,2011-11-18,7.9,12.0,150.0,Finance
Marcus & Millichap Inc.,California,MMI,New York,0.0,183.5,436.3,2013-10-31,9.6,12.0,72.0,Finance
Marin Software Inc.,California,MRIN,New York,0.0,0.0,33.1,2013-03-22,10.7,14.0,105.0,IT
Marinus Pharmaceuticals Inc.,Pennsylvania,MRNS,Nasdaq,25.0,0.0,180.7,2014-07-31,8.5,8.0,45.0,Health
MarketAxess Holdings Inc,New York,MKTX,Nasdaq,17.6,0.0,72.3,2004-02-11,13.5,11.0,55.0,Finance
Marketo Inc,California,MKTO,Nasdaq,0.0,5.3,75.9,2013-01-25,10.1,13.0,78.8,IT
Marrone Bio Innovations Inc.,California,MBII,Nasdaq,0.0,0.0,16.6,2013-08-02,11.2,12.0,57.0,Chemical
Masimo Corp,California,MASI,Nasdaq,80.4,22.2,170.3,2007-04-17,8.5,17.0,202.6,Energy
Mastercraft Boat Holdings Inc.,Tennessee,MCFT,Nasdaq,21.2,1165.4,1186.6,2015-07-17,10.7,15.0,91.1,Retail
Matador Resources Co,Texas,MTDR,New York,209.1,166.0,656.0,2012-02-02,4.5,12.0,160.0,Oil
Match Group Inc.,Texas,MTCH,Nasdaq,0.0,100.1,150.4,2015-11-19,10.3,12.0,400.0,IT
Materialise Nv,Wisconsin,MTLS,Nasdaq,2.6,0.0,446.6,2014-06-25,8.0,12.0,96.0,IT
Maxlinear Inc.,California,MXL,New York,0.0,0.0,27.5,2010-03-24,9.5,14.0,90.2,IT
MedCath Corp,North Carolina,MDTH,Nasdaq,0.0,210.7,453.8,2001-05-04,7.1,25.0,150.0,Health
Mediwound Ltd,Oregon,MDWD,Nasdaq,0.0,3.3,32.4,2014-03-20,8.2,14.0,70.0,Health
Medley Management Inc,New York,MDLY,New York,66.0,102.9,626.4,2014-08-18,10.1,18.0,108.0,Finance
Medpace Holdings Inc.,Ohio,MEDP,Nasdaq,27.0,0.0,31.3,2016-08-11,14.5,23.0,161.0,Health
Memory Pharmaceuticals Corp,New Jersey,MEMY,Nasdaq,0.0,2.4,37.7,2003-12-23,12.0,7.0,35.0,Agriculture
Merrimack Pharmaceuticals Inc.,Massachusetts,MACK,Nasdaq,344.5,19.6,364.1,2012-03-29,5.5,7.0,100.1,Health
Mersana Therapeutics Inc.,Massachusetts,MRSN,Nasdaq,0.0,931.6,931.6,2017-06-28,8.7,15.0,75.0,Health
Merus NV,New Jersey,MRUS,Nasdaq,0.0,39.9,1426.7,2016-05-19,6.2,10.0,55.0,Health
Mesa Air Group Inc,Arizona,MESA,Nasdaq,0.0,760.2,1389.6,2018-06-15,8.7,12.0,115.6,Transport
Mesoblast Ltd,Tennessee,MESO,Nasdaq,0.0,7.2,101.8,2015-11-13,8.6,8.0,59.8,Health
Metabolix Inc,Massachusetts,MBLX,Nasdaq,0.0,0.0,21.4,2006-07-14,9.1,14.0,95.2,Agriculture
Metropolitan Bank Holding Corp,New York,MCB,New York,0.0,0.0,2432.1,2017-11-08,7.6,35.0,108.5,Finance
Mgm Growth Properties Llc,Nevada,MGP,New York,0.0,2361.8,2362.3,2016-04-20,8.4,21.0,1050.0,Finance
Michaels Companies Inc.,Texas,MIK,Nasdaq,27.9,1307.4,1335.3,2014-06-27,1.3,17.0,472.2,Retail
MicroStrategy Inc,Virginia,MSTR,Nasdaq,0.0,0.0,30.6,1998-04-10,8.6,12.0,48.0,IT
Microsoft Corp,Washington,MSFT,Nasdaq,46.3,1.9,65.1,1986-02-03,7.1,21.0,58.7,IT
Mid-Con Energy Partners Lp,Oklahoma,MCEP,Nasdaq,37.3,0.2,149.2,2011-12-15,6.4,18.0,97.2,Oil
Midland States Bancorp Inc.,Illinois,MSBI,Nasdaq,0.0,0.0,53.4,2016-05-24,7.0,22.0,80.1,Finance
Midstates Petroleum Co Inc,Texas,MPO,New York,0.0,151.7,688.6,2011-11-14,6.4,13.0,312.0,Oil
Midwest Banc Holdings Inc,Illinois,MBHI,Nasdaq,18.4,67.2,906.8,1997-12-19,9.1,15.0,16.5,Finance
Milacron Holdings Corp,Ohio,MCRN,New York,0.0,79.2,778.1,2015-06-25,3.7,20.0,285.7,Machinery
Millennial Media Inc,Maryland,MM,New York,0.0,0.0,61.9,2010-07-28,75.4,13.0,132.6,IT
Mimecast Ltd,North Carolina,MIME,Nasdaq,0.0,0.0,126.6,2015-11-19,10.3,10.0,77.5,IT
Minerva Neurosciences Inc.,Massachusetts,NERV,Nasdaq,0.0,9.7,23.5,2014-07-01,6.6,6.0,32.7,Health
Mistras Group Inc,New Jersey,MG,New York,0.0,18.9,171.1,2008-06-10,10.0,12.5,108.8,Engineering
Mix Telematics Ltd,Colorado,MIXT,New York,0.0,129.8,129.8,2013-08-09,16.6,16.0,100.7,IT
Mobileiron Inc.,California,MOBL,Nasdaq,69.4,376.3,885.2,2014-06-12,9.2,9.0,100.0,IT
Model N Inc.,California,MODN,New York,0.0,8.5,75.4,2013-03-20,8.8,15.5,104.5,IT
Moelis & Co,New York,MC,New York,0.0,0.0,349.1,2013-10-22,13.4,25.0,162.5,Finance
Moleculin Biotech Inc.,Texas,MBRX,Nasdaq,0.0,7.7,539.3,2016-06-02,8.5,6.0,9.2,Health
Molina Healthcare Inc,California,MOH,New York,0.0,0.0,244.1,2002-12-30,9.0,17.5,115.5,Health
Momo Inc.,Wisconsin,MOMO,Nasdaq,0.0,0.0,35.9,2014-12-11,7.8,13.5,216.0,IT
Mongodb Inc.,New York,MDB,Nasdaq,0.0,0.0,43.2,2017-10-19,16.5,24.0,192.0,IT
Monotype Imaging Holdings Inc,Massachusetts,TYPE,Nasdaq,0.0,120.7,272.3,2007-01-26,10.1,12.0,132.0,IT
Morgans Hotel Group Co,New York,MHGC,Nasdaq,81.6,457.6,606.3,2005-10-27,8.0,20.0,360.0,Services
Morningstar Inc,Illinois,MORN,Nasdaq,0.0,0.0,190.7,2004-05-06,3.8,18.5,140.8,Finance
Morton's Restaurant Group Inc,Illinois,MRT,New York,24.7,51.9,282.6,2005-12-01,8.7,17.0,160.9,Restaurant
Motif Bio Plc,Virginia,MTFB,Nasdaq,0.0,1.1,182.5,2016-11-18,7.4,7.0,17.0,Health
Motricity Inc,Washington,MOTR,Nasdaq,0.0,0.0,174.2,2010-01-22,20.2,10.0,60.0,Consulting
Mplx Lp,Ohio,MPLX,New York,170.9,197.1,434.7,2012-10-26,5.9,22.0,380.6,Oil
Mtbc Inc.,New Jersey,MTBC,Nasdaq,0.0,0.0,24.7,2014-07-23,1.2,5.0,20.4,IT
Mueller Water Products Inc,Georgia,MWA,New York,0.0,0.0,2964.8,2006-02-03,6.4,16.0,400.0,Machinery
Myokardia Inc.,California,MYOK,Nasdaq,0.0,0.0,21.5,2015-10-29,10.3,10.0,54.4,Health
Myovant Sciences Ltd,Rhode Island,MYOV,New York,0.0,2258.2,2258.2,2016-10-27,9.7,15.0,217.5,Health
NATCO Group Inc,Texas,NTG,New York,11.2,2.3,106.2,1998-03-30,7.9,10.0,75.0,Oil
NYMEX Holdings Inc,New York,NMX,New York,441.6,80.3,2952.1,2006-07-14,7.6,59.0,383.5,Finance
Nabriva Therapeutics Plc,Hawaii,NBRV,Nasdaq,0.0,0.0,107.8,2015-09-18,10.6,10.3,92.3,Health
Nalco Holding Co,Illinois,NLC,New York,373.3,3424.8,5828.1,2004-08-26,5.9,15.0,666.7,Transport
Nanostring Technologies Inc.,Washington,NSTG,Nasdaq,0.0,0.0,94.2,2013-06-26,11.7,10.0,54.0,Health
Nanthealth Inc.,California,NH,Nasdaq,0.0,0.0,94.5,2016-06-02,9.2,14.0,91.0,IT
Nantkwest Inc.,California,NK,Nasdaq,29.2,0.0,112.2,2015-07-28,7.3,25.0,207.2,Health
Natera Inc.,California,NTRA,Nasdaq,6.1,225.2,231.2,2015-07-02,16.2,18.0,180.0,Health
National Bank Holdings Corp,Colorado,NBHC,New York,0.0,621.6,621.6,2012-09-20,13.9,19.3,137.6,Finance
National Financial Partners Corp,New York,NFP,New York,51.7,0.0,595.4,2003-05-09,8.4,23.0,208.5,Finance
National Storage Affiliates Trust,Colorado,NSA,New York,0.0,0.0,928.9,2015-04-23,4.2,13.0,260.0,Finance
National Vision Holdings Inc.,Georgia,EYE,Nasdaq,0.0,113.6,113.6,2017-10-26,7.6,22.0,347.6,Retail
Natural Grocers By Vitamin Cottage Inc.,Colorado,NGVC,New York,6.4,0.0,179.9,2012-07-25,10.3,15.0,107.1,Food
Natus Medical Inc,California,BABY,Nasdaq,0.0,0.0,12.3,2000-08-18,10.5,11.0,55.0,Energy
Navigator Holdings Ltd,Oklahoma,NVGS,New York,0.0,0.6,3210.3,2013-11-21,8.8,19.0,228.0,Machinery
Ncs Multistage Holdings Inc.,Texas,NCSM,Nasdaq,100.6,184.7,5316.7,2017-04-28,4.9,17.0,161.5,Oil
Neff Corp,Florida,NEFF,New York,131.7,721.9,606.7,2014-09-03,7.0,15.0,157.1,Machinery
Neophotonics Corp,California,NPTN,New York,0.0,0.2,170.9,2011-02-02,3.0,11.0,82.5,IT
Neos Therapeutics Inc.,Texas,NEOS,Nasdaq,0.0,68.3,68.3,2015-07-23,8.5,15.0,72.0,Health
NetLogic Microsystems Inc,California,NETL,Nasdaq,0.0,0.0,39.1,2004-04-16,11.0,12.0,69.3,Machinery
Netezza Corp,Massachusetts,NZ,New York,0.0,0.0,69.2,2007-03-22,8.8,12.0,108.0,Energy
Netlist Inc,California,NLST,Nasdaq,7.6,1.2,42.0,2006-08-18,10.6,7.0,43.8,Machinery
Netshoes (Cayman) Ltd,New Jersey,NETS,New York,76.7,13.0,89.6,2017-04-12,7.9,18.0,148.5,Retail
NeuroMetrix Inc,Massachusetts,NURO,Nasdaq,0.0,0.0,18.4,2004-05-13,12.8,8.0,24.0,Health
Nevro Corp,California,NVRO,New York,0.0,0.0,50.2,2014-11-06,10.2,18.0,126.0,Health
New Home Co Inc.,California,NWHM,New York,282.5,119.2,3121.2,2014-01-31,10.9,11.0,85.9,Retail
New Relic Inc.,California,NEWR,New York,0.0,0.6,36.6,2014-12-12,10.3,23.0,115.0,IT
Newater Technology Inc.,Arizona,NEWA,Nasdaq,7.7,0.0,7.7,2017-07-28,7.3,5.0,7.0,Machinery
Newlink Genetics Corp,Iowa,NLNK,Nasdaq,0.0,0.0,11.0,2011-11-14,0.4,7.0,43.4,Health
Newmark Group Inc.,New York,NMRK,Nasdaq,57.6,114.0,3221.0,2017-12-15,9.0,14.0,280.0,Finance
Nexa Resources SA,New York,NEXA,New York,0.0,5.3,111.1,2017-10-27,10.2,16.0,496.0,Chemical
Nextera Energy Partners Lp,Florida,NEP,New York,0.0,0.0,1074.4,2014-06-27,8.7,25.0,406.3,Energy
NightHawk Radiology Holdings Inc,Idaho,NHWK,Nasdaq,0.0,0.0,32.0,2005-10-05,8.7,16.0,100.8,Health
Nightstar Therapeutics Plc,Massachusetts,NITE,Nasdaq,405.8,24.5,2763.6,2017-09-28,7.0,14.0,75.0,Health
Nmi Holdings Inc.,California,NMIH,Nasdaq,253.1,277.3,530.4,2013-11-08,4.5,13.0,27.3,Finance
Noah Holdings Ltd,Nebraska,NOAH,New York,0.0,0.0,183.3,2010-11-10,9.6,12.0,100.8,Finance
Noble Midstream Partners Lp,Texas,NBLX,New York,14.1,412.7,606.0,2016-09-15,9.9,22.5,281.3,Oil
Noodles & Co,Colorado,NDLS,Nasdaq,0.0,55.6,55.6,2013-06-28,1.4,18.0,96.4,Retail
Nordic American Offshore Ltd,New York,NAO,New York,0.0,4.8,10.6,2014-06-12,10.6,16.0,94.1,Machinery
Northwest Biotherapeutics Inc,Maryland,NWBO,Nasdaq,0.0,0.1,9.3,2001-08-13,13.5,5.0,20.0,Agriculture
Norwegian Cruise Line Holdings Ltd,Florida,NCLH,Nasdaq,7.9,74.7,82.6,2013-01-18,5.8,19.0,447.1,Retail
Novan Inc.,North Carolina,NOVN,Nasdaq,17.3,0.0,2704.3,2016-09-21,8.0,11.0,45.1,Health
Novocure Ltd,Arkansas,NVCR,Nasdaq,0.0,0.0,36.8,2015-10-02,10.2,22.0,165.0,Agriculture
NuVasive Inc,California,NUVA,Nasdaq,0.0,0.0,20.8,2004-03-05,9.2,11.0,71.5,Health
Nucana Plc,Arkansas,NCNA,Nasdaq,271.7,3.6,275.3,2017-09-28,12.2,15.0,100.0,Health
Nutanix Inc.,California,NTNX,Nasdaq,36.8,0.0,83.4,2016-09-30,11.8,16.0,237.9,IT
Nxp Semiconductors NV,Texas,NXPI,Nasdaq,31.4,57.1,143.8,2010-08-06,6.6,14.0,476.0,IT
ORBCOMM Inc,New Jersey,ORBC,Nasdaq,0.0,0.9,76.4,2006-05-12,10.4,11.0,101.5,Communications
Oaktree Capital Group LLC,California,OAK,New York,257.9,830.4,45425.0,2011-06-17,19.6,43.0,380.2,Finance
Oasis Midstream Partners Lp,Texas,OMP,New York,1580.2,339.4,1919.6,2017-09-21,8.1,17.0,127.5,Oil
Oasis Petroleum Inc,Texas,OAS,New York,2.4,0.0,622.6,2010-03-04,6.6,14.0,588.0,Oil
Obalon Therapeutics Inc.,California,OBLN,Nasdaq,0.0,28.5,134.4,2016-10-06,9.3,15.0,75.0,Health
Obseva Sa,Maryland,OBSV,Nasdaq,0.0,1243.4,1262.3,2017-01-26,7.6,15.0,96.8,Health
Ocean Power Technologies Inc,New Jersey,OPTT,Nasdaq,0.0,0.2,30.9,2006-11-13,9.9,20.0,100.0,Energy
Och-Ziff Capital Management Group LLC,New York,OZM,New York,3232.5,748.1,2316.7,2007-07-02,7.3,32.0,1152.0,Finance
Ocular Therapeutix Inc.,Massachusetts,OCUL,Nasdaq,0.0,12.5,16.7,2014-07-25,5.6,13.0,65.0,Health
Odimo Inc,Florida,ODMO,Nasdaq,0.0,0.0,57.9,2004-07-16,16.8,9.0,28.1,IT
Odonate Therapeutics Inc.,California,ODT,Nasdaq,0.0,1674.9,1674.9,2017-12-07,6.7,24.0,150.0,Health
Okta Inc.,California,OKTA,Nasdaq,0.0,2.4,63.0,2017-04-07,11.0,17.0,187.0,IT
Ollie'S Bargain Outlet Holdings Inc.,Pennsylvania,OLLI,Nasdaq,25.6,0.0,25.6,2015-07-16,7.4,16.0,142.8,Food
Omega Protein Corp,Texas,OME,New York,0.0,11.4,136.3,1998-01-27,7.1,16.0,136.0,Agriculture
Omnicell Inc,California,OMCL,Nasdaq,0.0,0.0,52.0,2001-03-14,10.3,7.0,42.0,IT
On Deck Capital Inc.,New York,ONDK,New York,48.2,272.0,320.2,2014-12-17,12.2,20.0,200.0,Finance
Oncomed Pharmaceuticals Inc.,California,OMED,Nasdaq,31.5,0.0,50.0,2013-07-18,8.7,17.0,81.6,Engineering
Onconova Therapeutics Inc.,Pennsylvania,ONTX,Nasdaq,23.9,0.0,1844.2,2013-07-25,5.9,15.0,77.5,Health
OpenTable Inc,California,OPEN,Nasdaq,6.1,0.0,51.5,2009-01-30,11.3,20.0,60.0,Consulting
Opgen Inc.,Maryland,OPGN,Nasdaq,0.0,0.0,469.2,2015-05-05,8.0,6.0,17.1,Health
Opnext Inc,California,OPXT,Nasdaq,0.0,11.9,232.9,2006-10-27,8.8,15.0,253.6,Machinery
Optinose Inc.,Pennsylvania,OPTN,Nasdaq,1.6,39.9,41.5,2017-10-13,10.4,16.0,120.0,Health
Orange 21 Inc,California,ORNG,Nasdaq,3.5,0.2,26.4,2004-09-15,9.5,8.8,30.5,Retail
Orion Energy Systems Inc,Wisconsin,OESX,Nasdaq,3.3,4.5,33.8,2007-08-20,10.5,13.0,100.0,Machinery
Orion Engineered Carbons SA,Texas,OEC,New York,698.1,5.5,703.6,2014-07-25,12.0,18.0,351.0,Chemical
Ormat Technologies Inc,Nevada,ORA,New York,85.2,517.6,774.0,2004-07-20,9.9,15.0,93.8,Energy
Orthopediatrics Corp,Indiana,KIDS,Nasdaq,0.0,0.0,110.3,2017-10-12,5.6,13.0,52.0,Health
Ossen Innovation Co Ltd,Kentucky,OSN,Nasdaq,15.4,0.0,73.2,2010-12-21,8.1,4.5,22.5,Chemical
Otonomy Inc.,California,OTIC,Nasdaq,0.0,0.0,163.8,2014-08-13,10.3,16.0,100.0,Health
Ovid Therapeutics Inc.,New York,OVID,Nasdaq,0.0,7.1,56.9,2017-05-05,11.0,15.0,75.0,Health
Oyo Geospace Corp,Texas,OYOG,Nasdaq,12.7,1.0,35.1,1997-09-30,8.6,14.0,28.0,Machinery
PECO II Inc,Ohio,PIII,Nasdaq,0.0,5.0,78.0,2000-05-22,8.4,15.0,75.0,Machinery
PGT Inc,Florida,PGTI,Nasdaq,0.0,317.4,461.3,2006-03-10,7.7,14.0,123.5,Metal
Pacific Biosciences Of California Inc.,California,PACB,Nasdaq,0.0,1.2,86.6,2010-10-27,10.8,16.0,200.0,Health
Pacific Coast Oil Trust,Texas,ROYT,New York,938.6,281.1,1219.7,2012-05-03,8.4,20.0,370.0,Oil
Pacific Drilling SA,Maryland,PACD,New York,0.0,458.9,458.9,2011-11-11,8.2,8.3,49.5,Oil
"Pacific Mercantile Bancorp, Costa Mesa,California",California,PMBC,Nasdaq,0.0,0.0,119.2,2000-03-28,10.8,8.0,20.0,Finance
Packeteer Inc,California,PKTR,Nasdaq,0.0,0.0,12.2,1999-05-21,8.5,15.0,60.0,IT
Palo Alto Networks Inc.,California,PANW,New York,0.0,0.0,45.7,2012-07-20,10.2,42.0,260.4,IT
Papa Murphy'S Holdings Inc.,Washington,FRSH,Nasdaq,11.8,17.4,84.1,2014-05-02,10.1,11.0,64.2,Food
Paramount Group Inc.,New York,PGRE,New York,3.7,226.3,1176.9,2014-11-19,5.2,17.5,2292.5,Finance
Parsley Energy Inc.,Texas,PE,New York,0.0,39.9,2137.9,2014-05-23,5.0,18.5,925.0,Oil
Party City Holdco Inc.,New York,PRTY,New York,26.3,46.3,267.1,2015-04-16,6.7,17.0,371.9,Retail
Pattern Energy Group Inc.,California,PEGI,Nasdaq,0.0,0.0,607.5,2013-09-27,8.4,22.0,352.0,Energy
Paycom Software Inc,Oklahoma,PAYC,New York,14.6,26.5,532.2,2014-03-10,10.9,15.0,99.7,IT
Paylocity Holding Corp,Illinois,PCTY,Nasdaq,13.6,0.0,44.3,2014-03-19,8.2,17.0,119.8,IT
Pbf Energy Inc.,New Jersey,PBF,New York,192.3,4.3,202.1,2012-12-13,19.0,26.0,533.0,Oil
Pbf Logistics Lp,New Jersey,PBFX,New York,260.3,212.6,1079.9,2014-05-09,7.2,23.0,316.3,Oil
Peak Resorts Inc,Missouri,SKIS,Nasdaq,26.1,100.1,216.5,2014-10-20,8.5,9.0,90.0,Services
Peet's Coffee & Tea Inc,California,PEET,Nasdaq,4.2,1.4,47.4,2000-10-13,12.9,8.0,26.4,Food
Penn Virginia Resource Partners LP,Pennsylvania,PVR,New York,0.0,43.4,188.7,2001-07-19,9.2,21.0,136.5,Mining
Penumbra Inc.,California,PEN,New York,0.0,3.3,14.0,2015-09-18,14.7,30.0,120.0,Health
People'S Utah Bancorp,Utah,PUB,Nasdaq,0.0,0.0,470.6,2015-06-11,4.6,14.5,36.3,Finance
PeopleSupport Inc,California,PSPT,Nasdaq,0.0,0.0,33.2,2004-05-10,13.0,7.0,47.7,IT
Performance Food Group Co,Virginia,PFGC,New York,302.9,1245.4,3404.7,2014-09-09,6.6,19.0,275.5,Retail
Performant Financial Corp,California,PFMT,Nasdaq,12.2,0.1,59.1,2012-08-10,10.9,9.0,81.0,Machinery
Petiq Inc.,Idaho,PETQ,Nasdaq,0.0,1.2,9.4,2017-07-21,9.2,16.0,100.0,Health
Pfenex Inc.,California,PFNX,American,0.0,25.3,1582.8,2014-07-24,12.3,6.0,50.0,Health
Pharmaceutical Product Development Inc,North Carolina,PPDI,Nasdaq,0.0,1.4,27.5,1995-11-03,9.5,18.0,36.0,Agriculture
